Age;Attrition;BusinessVoyage;Tarif_ journalier;Departement;Distance_travail;Formation;Formation-detail;Matricule;Satisfaction_environnement;Genre;tarif_horaire;Investissement_travail;Niveau_managerial;Poste;Satisfaction_travail;Statut_marital;Salaire_mensuel;tarif-mensuel;Nb_entreprises_travaillees;Heures_sup;%_augmentation_salariale;Note_performance;Satisfaction_relations;Contrat_horaire;Annees_dans_vie_pro;Formation_annee_precedente;Equilibre_vie_pro_perso;annee_anciennete;annee_poste_actuel;annees_depuis_promotion;annee_avec_manager_actuel
23;Non;Voyage_rarement;1309;R&D;26;1;Sciences;465;3;Homme;83;3;1;Research Scientist;4;Divorcé;2904;16092;1;No;12;3;3;80;4;2;2;4;2;0;2
41;Non;Voyage_rarement;483;R&D;6;3;Medecine;466;4;Homme;95;2;2;Manufacturing Director;2;célibataire;6032;10110;6;Yes;15;3;4;80;8;3;3;5;4;1;2
47;Non;Voyage_fréquemment;1309;Ventes;4;1;Medecine;467;2;Homme;99;3;2;Sales Representative;3;célibataire;2976;25751;3;No;19;3;1;80;5;3;3;0;0;0;0
42;Non;Voyage_rarement;810;R&D;23;5;Sciences;468;1;Femme;44;3;4;Research Director;4;célibataire;15992;15901;2;No;14;3;2;80;16;2;3;1;0;0;0
29;Non;Voyage-pas;746;Ventes;2;3;Sciences;469;4;Homme;61;3;2;Sales Executive;3;Marié;4649;16928;1;No;14;3;1;80;4;3;2;4;3;0;2
42;Non;Voyage_rarement;544;RH;2;1;Diplome technique;470;3;Homme;52;3;1;Human Resources;3;Divorcé;2696;24017;0;Yes;11;3;3;80;4;5;3;3;2;1;0
32;Non;Voyage_rarement;1062;R&D;2;3;Medecine;471;3;Femme;75;3;1;Laboratory Technician;2;Marié;2370;3956;1;No;13;3;3;80;8;4;3;8;0;0;7
48;Non;Voyage_rarement;530;Ventes;29;1;Medecine;473;1;Femme;91;3;3;Manager;3;Marié;12504;23978;3;No;21;4;2;80;15;3;1;0;0;0;0
37;Non;Voyage_rarement;1319;R&D;6;3;Medecine;474;3;Homme;51;4;2;Research Scientist;1;Divorcé;5974;17001;4;Yes;13;3;1;80;13;2;3;7;7;6;7
30;Non;Voyage-pas;641;Ventes;25;2;Diplome technique;475;4;Femme;85;3;2;Sales Executive;3;Marié;4736;6069;7;Yes;12;3;2;80;4;2;4;2;2;2;2
26;Non;Voyage_rarement;933;Ventes;1;3;Sciences;476;3;Homme;57;3;2;Sales Executive;3;Marié;5296;20156;1;No;17;3;2;80;8;3;3;8;7;7;7
42;Non;Voyage_rarement;1332;R&D;2;4;Autres;477;1;Homme;98;2;2;Healthcare Representative;4;célibataire;6781;17078;3;No;23;4;2;80;14;6;3;1;0;0;0
21;Oui;Voyage_fréquemment;756;Ventes;1;1;Diplome technique;478;1;Femme;99;2;1;Sales Representative;2;célibataire;2174;9150;1;Yes;11;3;3;80;3;3;3;3;2;1;2
36;Non;Voyage-pas;845;Ventes;1;5;Medecine;479;4;Femme;45;3;2;Sales Executive;4;célibataire;6653;15276;4;No;15;3;2;80;7;6;3;1;0;0;0
36;Non;Voyage_fréquemment;541;Ventes;3;4;Medecine;481;1;Homme;48;2;3;Sales Executive;4;Marié;9699;7246;4;No;11;3;1;80;16;2;3;13;9;1;12
57;Non;Voyage_rarement;593;R&D;1;4;Medecine;482;4;Homme;88;3;2;Healthcare Representative;3;Marié;6755;2967;2;No;11;3;3;80;15;2;3;3;2;1;2
40;Non;Voyage_rarement;1171;R&D;10;4;Sciences;483;4;Femme;46;4;1;Laboratory Technician;3;Marié;2213;22495;3;Yes;13;3;3;80;10;3;3;7;7;1;7
21;Non;Voyage-pas;895;Ventes;9;2;Medecine;484;1;Homme;39;3;1;Sales Representative;4;célibataire;2610;2851;1;No;24;4;3;80;3;3;2;3;2;2;2
33;Oui;Voyage_rarement;350;Ventes;5;3;Marketing;485;4;Femme;34;3;1;Sales Representative;3;célibataire;2851;9150;1;Yes;13;3;2;80;1;2;3;1;0;0;0
37;Non;Voyage_rarement;921;R&D;10;3;Medecine;486;3;Femme;98;3;1;Laboratory Technician;1;Marié;3452;17663;6;No;20;4;2;80;17;3;3;5;4;0;3
46;Non;Voyage-pas;1144;R&D;7;4;Medecine;487;3;Femme;30;3;2;Manufacturing Director;3;Marié;5258;16044;2;No;14;3;3;80;7;2;4;1;0;0;0
41;Oui;Voyage_fréquemment;143;Ventes;4;3;Marketing;488;1;Homme;56;3;2;Sales Executive;2;célibataire;9355;9558;1;No;18;3;3;80;8;5;3;8;7;7;7
50;Non;Voyage_rarement;1046;R&D;10;3;Diplome technique;491;4;Homme;100;2;3;Healthcare Representative;4;célibataire;10496;2755;6;No;15;3;4;80;20;2;3;4;3;1;3
40;Oui;Voyage_rarement;575;Ventes;22;2;Marketing;492;3;Homme;68;2;2;Sales Executive;3;Marié;6380;6110;2;Yes;12;3;1;80;8;6;3;6;4;1;0
31;Non;Voyage_rarement;408;R&D;9;4;Sciences;493;3;Homme;42;2;1;Research Scientist;2;célibataire;2657;7551;0;Yes;16;3;4;80;3;5;3;2;2;2;2
21;Oui;Voyage_rarement;156;Ventes;12;3;Sciences;494;3;Femme;90;4;1;Sales Representative;2;célibataire;2716;25422;1;No;15;3;4;80;1;0;3;1;0;0;0
29;Non;Voyage_rarement;1283;R&D;23;3;Sciences;495;4;Homme;54;3;1;Research Scientist;4;célibataire;2201;18168;9;No;16;3;4;80;6;4;3;3;2;1;2
35;Non;Voyage_rarement;755;R&D;9;4;Sciences;496;3;Homme;97;2;2;Healthcare Representative;2;célibataire;6540;19394;9;No;19;3;3;80;10;5;3;1;1;0;0
27;Non;Voyage_rarement;1469;R&D;1;2;Medecine;497;4;Homme;82;3;1;Laboratory Technician;2;Divorcé;3816;17881;1;No;11;3;2;80;5;2;3;5;2;0;4
28;Non;Voyage_rarement;304;Ventes;9;4;Sciences;498;2;Homme;92;3;2;Sales Executive;4;célibataire;5253;20750;1;No;16;3;4;80;7;1;3;7;5;0;7
49;Non;Voyage_rarement;1261;R&D;7;3;Autres;499;2;Homme;31;2;3;Healthcare Representative;3;célibataire;10965;12066;8;No;24;4;3;80;26;2;3;5;2;0;0
51;Non;Voyage_rarement;1178;Ventes;14;2;Sciences;500;3;Femme;87;3;2;Sales Executive;4;Marié;4936;14862;4;No;11;3;3;80;18;2;2;7;7;0;7
36;Non;Voyage_rarement;329;R&D;2;3;Sciences;501;4;Femme;96;3;1;Research Scientist;3;Marié;2543;11868;4;No;13;3;2;80;6;3;3;2;2;2;2
34;Oui;Voyage-pas;1362;Ventes;19;3;Marketing;502;1;Homme;67;4;2;Sales Executive;4;célibataire;5304;4652;8;Yes;13;3;2;80;9;3;2;5;2;0;4
55;Non;Voyage_rarement;1311;R&D;2;3;Sciences;505;3;Femme;97;3;4;Manager;4;célibataire;16659;23258;2;Yes;13;3;3;80;30;2;3;5;4;1;2
24;Non;Voyage_rarement;1371;Ventes;10;4;Marketing;507;4;Femme;77;3;2;Sales Executive;3;Divorcé;4260;5915;1;Yes;12;3;4;80;5;2;4;5;2;0;3
30;Non;Voyage_rarement;202;Ventes;2;1;Diplome technique;508;3;Homme;72;3;1;Sales Representative;2;Marié;2476;17434;1;No;18;3;1;80;1;3;3;1;0;0;0
26;Oui;Voyage_fréquemment;575;R&D;3;1;Diplome technique;510;3;Homme;73;3;1;Research Scientist;1;célibataire;3102;6582;0;No;22;4;3;80;7;2;3;6;4;0;4
22;Non;Voyage_rarement;253;R&D;11;3;Medecine;511;1;Femme;43;3;1;Research Scientist;2;Marié;2244;24440;1;No;13;3;4;80;2;1;3;2;1;1;2
36;Non;Voyage_rarement;164;Ventes;2;2;Medecine;513;2;Homme;61;2;3;Sales Executive;3;Marié;7596;3809;1;No;13;3;2;80;10;2;3;10;9;9;0
30;Oui;Voyage_fréquemment;464;R&D;4;3;Diplome technique;514;3;Homme;40;3;1;Research Scientist;4;célibataire;2285;3427;9;Yes;23;4;3;80;3;4;3;1;0;0;0
37;Non;Voyage_rarement;1107;R&D;14;3;Sciences;515;4;Femme;95;3;1;Laboratory Technician;1;Divorcé;3034;26914;1;No;12;3;3;80;18;2;2;18;7;12;17
40;Non;Voyage_rarement;759;Ventes;2;2;Marketing;516;4;Femme;46;3;2;Sales Executive;2;Divorcé;5715;22553;7;No;12;3;3;80;8;5;3;5;4;1;3
42;Non;Voyage_rarement;201;R&D;1;4;Sciences;517;2;Femme;95;3;1;Laboratory Technician;1;Divorcé;2576;20490;3;No;16;3;2;80;8;5;3;5;2;1;2
37;Non;Voyage_rarement;1305;R&D;10;4;Sciences;518;3;Homme;49;3;2;Manufacturing Director;2;célibataire;4197;21123;2;Yes;12;3;4;80;18;2;2;1;0;0;1
43;Non;Voyage_rarement;982;R&D;12;3;Sciences;520;1;Homme;59;2;4;Research Director;2;Divorcé;14336;4345;1;No;11;3;3;80;25;3;3;25;10;3;9
40;Non;Voyage_rarement;555;R&D;2;3;Medecine;521;2;Femme;78;2;2;Laboratory Technician;3;Marié;3448;13436;6;No;22;4;2;80;20;3;3;1;0;0;0
54;Non;Voyage_rarement;821;R&D;5;2;Medecine;522;1;Homme;86;3;5;Research Director;1;Marié;19406;8509;4;No;11;3;3;80;24;4;2;4;2;1;2
34;Non;Voyage-pas;1381;Ventes;4;4;Marketing;523;3;Femme;72;3;2;Sales Executive;3;Marié;6538;12740;9;No;15;3;1;80;6;3;3;3;2;1;2
31;Non;Voyage_rarement;480;R&D;7;2;Medecine;524;2;Femme;31;3;2;Manufacturing Director;1;Marié;4306;4156;1;No;12;3;2;80;13;5;1;13;10;3;12
43;Non;Voyage_fréquemment;313;R&D;21;3;Medecine;525;4;Homme;61;3;1;Laboratory Technician;4;Marié;2258;15238;7;No;20;4;1;80;8;1;3;3;2;1;2
43;Non;Voyage_rarement;1473;R&D;8;4;Autres;526;3;Femme;74;3;2;Healthcare Representative;3;Divorcé;4522;2227;4;Yes;14;3;4;80;8;3;3;5;2;0;2
25;Non;Voyage_rarement;891;Ventes;4;2;Sciences;527;2;Femme;99;2;2;Sales Executive;4;célibataire;4487;12090;1;Yes;11;3;2;80;5;3;3;5;4;1;3
37;Non;Voyage-pas;1063;R&D;25;5;Medecine;529;2;Femme;72;3;2;Research Scientist;3;Marié;4449;23866;3;Yes;15;3;1;80;15;2;3;13;11;10;7
31;Non;Voyage_rarement;329;R&D;1;2;Sciences;530;4;Homme;98;2;1;Laboratory Technician;1;Marié;2218;16193;1;No;12;3;3;80;4;3;3;4;2;3;2
39;Non;Voyage_fréquemment;1218;R&D;1;1;Sciences;531;2;Homme;52;3;5;Manager;3;Divorcé;19197;8213;1;Yes;14;3;3;80;21;3;3;21;8;1;6
56;Non;Voyage_fréquemment;906;Ventes;6;3;Sciences;532;3;Femme;86;4;4;Sales Executive;1;Marié;13212;18256;9;No;11;3;4;80;36;0;2;7;7;7;7
30;Non;Voyage_rarement;1082;Ventes;12;3;Diplome technique;533;2;Femme;83;3;2;Sales Executive;3;célibataire;6577;19558;0;No;11;3;2;80;6;6;3;5;4;4;4
41;Non;Voyage_rarement;645;Ventes;1;3;Marketing;534;2;Homme;49;4;3;Sales Executive;1;Marié;8392;19566;1;No;16;3;3;80;10;2;3;10;7;0;7
28;Non;Voyage_rarement;1300;R&D;17;2;Medecine;536;3;Homme;79;3;2;Laboratory Technician;1;Divorcé;4558;13535;1;No;12;3;4;80;10;2;3;10;0;1;8
25;Oui;Voyage_rarement;688;R&D;3;3;Medecine;538;1;Homme;91;3;1;Laboratory Technician;1;Marié;4031;9396;5;No;13;3;3;80;6;5;3;2;2;0;2
52;Non;Voyage_rarement;319;R&D;3;3;Medecine;543;4;Homme;39;2;3;Manufacturing Director;3;Marié;7969;19609;2;Yes;14;3;3;80;28;4;3;5;4;0;4
45;Non;Voyage_rarement;192;R&D;10;2;Sciences;544;1;Homme;69;3;1;Research Scientist;4;Marié;2654;9655;3;No;21;4;4;80;8;3;2;2;2;0;2
52;Non;Voyage_rarement;1490;R&D;4;2;Sciences;546;4;Femme;30;3;4;Manager;4;Marié;16555;10310;2;No;13;3;4;80;31;2;1;5;2;1;4
42;Non;Voyage_fréquemment;532;R&D;29;2;Sciences;547;1;Femme;92;3;2;Research Scientist;3;Divorcé;4556;12932;2;No;11;3;2;80;19;3;3;5;4;0;2
30;Non;Voyage_rarement;317;R&D;2;3;Sciences;548;3;Femme;43;1;2;Manufacturing Director;4;célibataire;6091;24793;2;No;20;4;3;80;11;2;3;5;4;0;2
60;Non;Voyage_rarement;422;R&D;7;3;Sciences;549;1;Femme;41;3;5;Manager;1;Marié;19566;3854;5;No;11;3;4;80;33;5;1;29;8;11;10
46;Non;Voyage_rarement;1485;R&D;18;3;Medecine;550;3;Femme;87;3;2;Manufacturing Director;3;Divorcé;4810;26314;2;No;14;3;3;80;19;5;2;10;7;0;8
42;Non;Voyage_fréquemment;1368;R&D;28;4;Diplome technique;551;4;Femme;88;2;2;Healthcare Representative;4;Marié;4523;4386;0;No;11;3;4;80;7;4;4;6;5;0;4
24;Oui;Voyage_rarement;1448;Ventes;1;1;Diplome technique;554;1;Femme;62;3;1;Sales Representative;2;célibataire;3202;21972;1;Yes;16;3;2;80;6;4;3;5;3;1;4
34;Oui;Voyage_fréquemment;296;Ventes;6;2;Marketing;555;4;Femme;33;1;1;Sales Representative;3;Divorcé;2351;12253;0;No;16;3;4;80;3;3;2;2;2;1;0
38;Non;Voyage_fréquemment;1490;R&D;2;2;Sciences;556;4;Homme;42;3;1;Laboratory Technician;4;Marié;1702;12106;1;Yes;23;4;3;80;1;3;3;1;0;0;0
40;Non;Voyage_rarement;1398;Ventes;2;4;Sciences;558;3;Femme;79;3;5;Manager;3;Marié;18041;13022;0;No;14;3;4;80;21;2;3;20;15;1;12
26;Non;Voyage_rarement;1349;R&D;23;3;Sciences;560;1;Femme;90;3;1;Research Scientist;4;Divorcé;2886;3032;1;No;22;4;2;80;3;3;1;3;2;0;2
30;Non;Voyage-pas;1400;R&D;3;3;Sciences;562;3;Homme;53;3;1;Laboratory Technician;4;Marié;2097;16734;4;No;15;3;3;80;9;3;1;5;3;1;4
29;Non;Voyage_rarement;986;R&D;3;4;Medecine;564;2;Homme;93;2;3;Research Director;3;Marié;11935;21526;1;No;18;3;3;80;10;2;3;10;2;0;7
29;Oui;Voyage_rarement;408;R&D;25;5;Diplome technique;565;3;Femme;71;2;1;Research Scientist;2;Marié;2546;18300;5;No;16;3;2;80;6;2;4;2;2;1;1
19;Oui;Voyage_rarement;489;RH;2;2;Diplome technique;566;1;Homme;52;2;1;Human Resources;4;célibataire;2564;18437;1;No;12;3;3;80;1;3;4;1;0;0;0
30;Non;Voyage-pas;1398;Ventes;22;4;Autres;567;3;Femme;69;3;3;Sales Executive;1;Marié;8412;2890;0;No;11;3;3;80;10;3;3;9;8;7;8
57;Non;Voyage_rarement;210;Ventes;29;3;Marketing;568;1;Homme;56;2;4;Manager;4;Divorcé;14118;22102;3;No;12;3;3;80;32;3;2;1;0;0;0
50;Non;Voyage_rarement;1099;R&D;29;4;Sciences;569;2;Homme;88;2;4;Manager;3;Marié;17046;9314;0;No;15;3;2;80;28;2;3;27;10;15;7
30;Non;Voyage-pas;1116;R&D;2;3;Medecine;571;3;Femme;49;3;1;Laboratory Technician;4;célibataire;2564;7181;0;No;14;3;3;80;12;2;2;11;7;6;7
60;Non;Voyage_fréquemment;1499;Ventes;28;3;Marketing;573;3;Femme;80;2;3;Sales Executive;1;Marié;10266;2845;4;No;19;3;4;80;22;5;4;18;13;13;11
47;Non;Voyage_rarement;983;R&D;2;2;Medecine;574;1;Femme;65;3;2;Manufacturing Director;4;Divorcé;5070;7389;5;No;13;3;3;80;20;2;3;5;0;0;4
46;Non;Voyage_rarement;1009;R&D;2;3;Sciences;575;1;Homme;51;3;4;Research Director;3;Marié;17861;2288;6;No;13;3;3;80;26;2;1;3;2;0;1
35;Non;Voyage_rarement;144;R&D;22;3;Sciences;577;4;Homme;46;1;1;Laboratory Technician;3;célibataire;4230;19225;0;No;15;3;3;80;6;2;3;5;4;4;3
54;Non;Voyage_rarement;548;R&D;8;4;Sciences;578;3;Femme;42;3;2;Laboratory Technician;3;célibataire;3780;23428;7;No;11;3;3;80;19;3;3;1;0;0;0
34;Non;Voyage_rarement;1303;R&D;2;4;Sciences;579;4;Homme;62;2;1;Research Scientist;3;Divorcé;2768;8416;3;No;12;3;3;80;14;3;3;7;3;5;7
46;Non;Voyage_rarement;1125;Ventes;10;3;Marketing;580;3;Femme;94;2;3;Sales Executive;4;Marié;9071;11563;2;Yes;19;3;3;80;15;3;3;3;2;1;2
31;Non;Voyage_rarement;1274;R&D;9;1;Sciences;581;3;Homme;33;3;3;Manufacturing Director;2;Divorcé;10648;14394;1;No;25;4;4;80;13;6;4;13;8;0;8
33;Oui;Voyage_rarement;1277;R&D;15;1;Medecine;582;2;Homme;56;3;3;Manager;3;Marié;13610;24619;7;Yes;12;3;4;80;15;2;4;7;6;7;7
33;Oui;Voyage_rarement;587;R&D;10;1;Medecine;584;1;Homme;38;1;1;Laboratory Technician;4;Divorcé;3408;6705;7;No;13;3;1;80;8;2;3;4;3;1;3
30;Non;Voyage_rarement;413;Ventes;7;1;Marketing;585;4;Homme;57;3;1;Sales Representative;2;célibataire;2983;18398;0;No;14;3;1;80;4;3;3;3;2;1;2
35;Non;Voyage_rarement;1276;R&D;16;3;Sciences;586;4;Homme;72;3;3;Healthcare Representative;3;Marié;7632;14295;4;Yes;12;3;3;80;10;2;3;8;7;0;0
31;Oui;Voyage_fréquemment;534;R&D;20;3;Sciences;587;1;Homme;66;3;3;Healthcare Representative;3;Marié;9824;22908;3;No;12;3;1;80;12;2;3;1;0;0;0
34;Oui;Voyage_fréquemment;988;RH;23;3;RH;590;2;Femme;43;3;3;Human Resources;1;Divorcé;9950;11533;9;Yes;15;3;3;80;11;2;3;3;2;0;2
42;Non;Voyage_fréquemment;1474;R&D;5;2;Autres;591;2;Homme;97;3;1;Laboratory Technician;3;Marié;2093;9260;4;No;17;3;4;80;8;4;3;2;2;2;0
36;Non;Voyage-pas;635;Ventes;10;4;Medecine;592;2;Homme;32;3;3;Sales Executive;4;célibataire;9980;15318;1;No;14;3;4;80;10;3;2;10;3;9;7
22;Oui;Voyage_fréquemment;1368;R&D;4;1;Diplome technique;593;3;Homme;99;2;1;Laboratory Technician;3;célibataire;3894;9129;5;No;16;3;3;80;4;3;3;2;2;1;2
48;Non;Voyage_rarement;163;Ventes;2;5;Marketing;595;2;Femme;37;3;2;Sales Executive;4;Marié;4051;19658;2;No;14;3;1;80;14;2;3;9;7;6;7
55;Non;Voyage_rarement;1117;Ventes;18;5;Sciences;597;1;Femme;83;3;4;Manager;2;célibataire;16835;9873;3;No;23;4;4;80;37;2;3;10;9;7;7
41;Non;Voyage-pas;267;Ventes;10;2;Sciences;599;4;Homme;56;3;2;Sales Executive;4;célibataire;6230;13430;7;No;14;3;4;80;16;3;3;14;3;1;10
35;Non;Voyage_rarement;619;Ventes;1;3;Marketing;600;2;Homme;85;3;2;Sales Executive;3;Marié;4717;18659;9;No;11;3;3;80;15;2;3;11;9;6;9
40;Non;Voyage_rarement;302;R&D;6;3;Sciences;601;2;Femme;75;3;4;Manufacturing Director;3;célibataire;13237;20364;7;No;15;3;3;80;22;3;3;20;6;5;13
39;Non;Voyage_fréquemment;443;R&D;8;1;Sciences;602;3;Femme;48;3;1;Laboratory Technician;3;Marié;3755;17872;1;No;11;3;1;80;8;3;3;8;3;0;7
31;Non;Voyage_rarement;828;Ventes;2;1;Sciences;604;2;Homme;77;3;2;Sales Executive;4;célibataire;6582;8346;4;Yes;13;3;3;80;10;2;4;6;5;0;5
42;Non;Voyage_rarement;319;R&D;24;3;Medecine;605;4;Homme;56;3;3;Manufacturing Director;1;Marié;7406;6950;1;Yes;21;4;4;80;10;5;2;10;9;5;8
45;Non;Voyage_rarement;561;Ventes;2;3;Autres;606;4;Homme;61;3;2;Sales Executive;2;Marié;4805;16177;0;No;19;3;2;80;9;3;4;8;7;3;7
26;Oui;Voyage_fréquemment;426;RH;17;4;Sciences;608;2;Femme;58;3;1;Human Resources;3;Divorcé;2741;22808;0;Yes;11;3;2;80;8;2;2;7;7;1;0
29;Non;Voyage_rarement;232;R&D;19;3;Diplome technique;611;4;Homme;34;3;2;Manufacturing Director;4;Divorcé;4262;22645;4;No;12;3;2;80;8;2;4;3;2;1;2
33;Non;Voyage_rarement;922;R&D;1;5;Medecine;612;1;Femme;95;4;4;Research Director;3;Divorcé;16184;22578;4;No;19;3;3;80;10;2;3;6;1;0;5
31;Non;Voyage_rarement;688;Ventes;7;3;Sciences;613;3;Homme;44;2;3;Manager;4;Divorcé;11557;25291;9;No;21;4;3;80;10;3;2;5;4;0;1
18;Oui;Voyage_fréquemment;1306;Ventes;5;3;Marketing;614;2;Homme;69;3;1;Sales Representative;2;célibataire;1878;8059;1;Yes;14;3;4;80;0;3;3;0;0;0;0
40;Non;Voyage-pas;1094;Ventes;28;3;Autres;615;3;Homme;58;1;3;Sales Executive;1;Divorcé;10932;11373;3;No;15;3;3;80;20;2;3;1;0;0;1
41;Non;Voyage-pas;509;R&D;2;4;Autres;616;1;Femme;62;2;2;Healthcare Representative;3;célibataire;6811;2112;2;Yes;17;3;1;80;10;3;3;8;7;0;7
26;Non;Voyage_rarement;775;Ventes;29;2;Medecine;618;1;Homme;45;3;2;Sales Executive;3;Divorcé;4306;4267;5;No;12;3;1;80;8;5;3;0;0;0;0
35;Non;Voyage_rarement;195;Ventes;1;3;Medecine;620;1;Femme;80;3;2;Sales Executive;3;célibataire;4859;6698;1;No;16;3;4;80;5;3;3;5;4;0;3
34;Non;Voyage_rarement;258;Ventes;21;4;Sciences;621;4;Homme;74;4;2;Sales Executive;4;célibataire;5337;19921;1;No;12;3;4;80;10;3;3;10;7;5;7
26;Oui;Voyage_rarement;471;R&D;24;3;Diplome technique;622;3;Homme;66;1;1;Laboratory Technician;4;célibataire;2340;23213;1;Yes;18;3;2;80;1;3;1;1;0;0;0
37;Non;Voyage_rarement;799;R&D;1;3;Diplome technique;623;2;Femme;59;3;3;Manufacturing Director;4;célibataire;7491;23848;4;No;17;3;4;80;12;3;4;6;5;1;2
46;Non;Voyage_fréquemment;1034;R&D;18;1;Medecine;624;1;Femme;86;3;3;Healthcare Representative;3;Marié;10527;8984;5;No;11;3;4;80;28;3;2;2;2;1;2
41;Non;Voyage_rarement;1276;Ventes;2;5;Sciences;625;2;Femme;91;3;4;Manager;1;Marié;16595;5626;7;No;16;3;2;80;22;2;3;18;16;11;8
37;Non;Voyage-pas;142;Ventes;9;4;Medecine;626;1;Homme;69;3;3;Sales Executive;2;Divorcé;8834;24666;1;No;13;3;4;80;9;6;3;9;5;7;7
52;Non;Voyage_rarement;956;R&D;6;2;Diplome technique;630;4;Homme;78;3;2;Research Scientist;1;Divorcé;5577;22087;3;Yes;12;3;2;80;18;3;3;10;9;6;9
32;Oui;Voyage-pas;1474;Ventes;11;4;Autres;631;4;Homme;60;4;2;Sales Executive;3;Marié;4707;23914;8;No;12;3;4;80;6;2;3;4;2;1;2
24;Non;Voyage_fréquemment;535;Ventes;24;3;Medecine;632;4;Homme;38;3;1;Sales Representative;4;Marié;2400;5530;0;No;13;3;3;80;3;3;3;2;2;2;1
38;Non;Voyage_rarement;1495;R&D;10;3;Medecine;634;3;Femme;76;3;2;Healthcare Representative;3;Marié;9824;22174;3;No;19;3;3;80;18;4;3;1;0;0;0
37;Non;Voyage_rarement;446;R&D;1;4;Sciences;635;2;Femme;65;3;2;Manufacturing Director;2;Marié;6447;15701;6;No;12;3;2;80;8;2;2;6;5;4;3
49;Non;Voyage_rarement;1245;R&D;18;4;Sciences;638;4;Homme;58;2;5;Research Director;3;Divorcé;19502;2125;1;Yes;17;3;3;80;31;5;3;31;9;0;9
24;Non;Voyage_rarement;691;R&D;23;3;Medecine;639;2;Homme;89;4;1;Research Scientist;4;Marié;2725;21630;1;Yes;11;3;2;80;6;3;3;6;5;1;4
26;Non;Voyage_rarement;703;Ventes;28;2;Marketing;641;1;Homme;66;3;2;Sales Executive;2;Marié;6272;7428;1;No;20;4;4;80;6;5;4;5;3;1;4
24;Non;Voyage_rarement;823;R&D;17;2;Autres;643;4;Homme;94;2;1;Laboratory Technician;2;Marié;2127;9100;1;No;21;4;4;80;1;2;3;1;0;0;0
50;Non;Voyage_fréquemment;1246;RH;3;3;Medecine;644;1;Homme;99;3;5;Manager;2;Marié;18200;7999;1;No;11;3;3;80;32;2;3;32;5;10;7
25;Non;Voyage_rarement;622;Ventes;13;1;Medecine;645;2;Homme;40;3;1;Sales Representative;3;Marié;2096;26376;1;No;11;3;3;80;7;1;3;7;4;0;6
24;Oui;Voyage_fréquemment;1287;R&D;7;3;Sciences;647;1;Femme;55;3;1;Laboratory Technician;3;Marié;2886;14168;1;Yes;16;3;4;80;6;4;3;6;3;1;2
30;Oui;Voyage_fréquemment;448;Ventes;12;4;Sciences;648;2;Homme;74;2;1;Sales Representative;1;Marié;2033;14470;1;No;18;3;3;80;1;2;4;1;0;0;0
34;Non;Voyage_rarement;254;R&D;1;2;Sciences;649;2;Homme;83;2;1;Research Scientist;4;Marié;3622;22794;1;Yes;13;3;4;80;6;3;3;6;5;1;3
31;Oui;Voyage_rarement;1365;Ventes;13;4;Medecine;650;2;Homme;46;3;2;Sales Executive;1;Divorcé;4233;11512;2;No;17;3;3;80;9;2;1;3;1;1;2
35;Non;Voyage_rarement;538;R&D;25;2;Autres;652;1;Homme;54;2;2;Laboratory Technician;4;célibataire;3681;14004;4;No;14;3;4;80;9;3;3;3;2;0;2
31;Non;Voyage_rarement;525;Ventes;6;4;Medecine;653;1;Homme;66;4;2;Sales Executive;4;Divorcé;5460;6219;4;No;22;4;4;80;13;4;4;7;7;5;7
27;Non;Voyage_rarement;798;R&D;6;4;Medecine;655;1;Femme;66;2;1;Research Scientist;3;Divorcé;2187;5013;0;No;12;3;3;80;6;5;2;5;3;0;3
37;Non;Voyage_rarement;558;Ventes;2;3;Marketing;656;4;Homme;75;3;2;Sales Executive;3;Marié;9602;3010;4;Yes;11;3;3;80;17;3;2;3;0;1;0
20;Non;Voyage_rarement;959;R&D;1;3;Sciences;657;4;Femme;83;2;1;Research Scientist;2;célibataire;2836;11757;1;No;13;3;4;80;1;0;4;1;0;0;0
42;Non;Voyage_rarement;622;R&D;2;4;Sciences;659;3;Femme;81;3;2;Healthcare Representative;4;Marié;4089;5718;1;No;13;3;2;80;10;4;3;10;2;2;2
43;Non;Voyage_rarement;782;R&D;6;4;Autres;661;2;Homme;50;2;4;Research Director;4;Divorcé;16627;2671;4;Yes;14;3;3;80;21;3;2;1;0;0;0
38;Non;Voyage_rarement;362;R&D;1;1;Sciences;662;3;Femme;43;3;1;Research Scientist;1;célibataire;2619;14561;3;No;17;3;4;80;8;3;2;0;0;0;0
43;Non;Voyage_fréquemment;1001;R&D;9;5;Medecine;663;4;Homme;72;3;2;Laboratory Technician;3;Divorcé;5679;19627;3;Yes;13;3;2;80;10;3;3;8;7;4;7
48;Non;Voyage_rarement;1236;R&D;1;4;Sciences;664;4;Femme;40;2;4;Manager;1;Marié;15402;17997;7;No;11;3;1;80;21;3;1;3;2;0;2
44;Non;Voyage_rarement;1112;RH;1;4;Sciences;665;1;Femme;50;2;2;Human Resources;3;célibataire;5985;26894;4;No;11;3;2;80;10;1;4;2;2;0;2
34;Non;Voyage_rarement;204;Ventes;14;3;Diplome technique;666;3;Femme;31;3;1;Sales Representative;3;Divorcé;2579;2912;1;Yes;18;3;4;80;8;3;3;8;2;0;6
27;Oui;Voyage_rarement;1420;Ventes;2;1;Marketing;667;3;Homme;85;3;1;Sales Representative;1;Divorcé;3041;16346;0;No;11;3;2;80;5;3;3;4;3;0;2
